id,orderShopId,orderName,orderNameOrig,hint,hintOrig,fragmentName,fragmentNameOrig,fragmentCount,fragmentColor,clearRewardName,clearRewardNameOrig,firstClearRewardAmount,clearRewardAmount,stars,unlockCondition,reacceptable
189,200,Test your might "colette Summer" primary final,腕試し編・コレット夏 初級FINAL,Clear musics of REFLEC BEAT colette Summer in HARD difficulty with AA rank or above,REFLEC BEAT colette Summerの楽曲のHARDをランクAA以上でクリア,Test your might primary 3 fragment,腕試し初級のかけら3,15,red,Byword left part "Colette Summer primary",通り名 前パーツ「三代夏初級の」,1,0,2,{"anyOrdersCleared":[188]},FALSE
190,201,Test your might "colette Summer" intermediate 1st,腕試し編・コレット夏 中級1ST,Clear level 9 musics of REFLEC BEAT colette Summer,REFLEC BEAT colette Summerの楽曲でレベル9の楽曲をクリア,Test your might intermediate 1 fragment,腕試し中級のかけら1,15,red,Stamp ticket,スタンプチケット,3,0,3,{},FALSE
191,202,Test your might "colette Summer" intermediate 2nd,腕試し編・コレット夏 中級2ND,Clear level 8 musics of REFLEC BEAT colette Summer with AA rank or above,REFLEC BEAT colette Summerの楽曲でレベル8の楽曲をランクAA以上でクリア,Test your might intermediate 2 fragment,腕試し中級のかけら2,15,red,Stamp ticket,スタンプチケット,4,0,3,{"anyOrdersCleared":[190]},FALSE
192,203,Test your might "colette Summer" intermediate final,腕試し編・コレット夏 中級FINAL,Clear Knell (HARD),KnellのHARDをクリア,Test your might intermediate 3 fragment,腕試し中級のかけら3,10,red,Byword left part "Colette Summer intermediate",通り名 前パーツ「三代夏中級の」,1,0,3,{"anyOrdersCleared":[191]},FALSE
193,204,Test your might "colette Summer" advanced 1st,腕試し編・コレット夏 上級1ST,Clear musics of REFLEC BEAT colette Summer in HARD difficulty with AA rank or above and full combo,REFLEC BEAT colette Summerの楽曲のHARDをランクAA以上でフルコンボクリア,Test your might advanced 1 fragment,腕試し上級のかけら1,15,red,Stamp ticket,スタンプチケット,3,0,4,{},FALSE
194,205,Test your might "colette Summer" advanced 2nd,腕試し編・コレット夏 上級2ND,Clear level 9 musics of REFLEC BEAT colette Summer with AA rank or above,REFLEC BEAT colette Summerの楽曲でレベル9の楽曲をランクAA以上でクリア,Test your might advanced 2 fragment,腕試し上級のかけら2,15,red,Stamp ticket,スタンプチケット,4,0,4,{"anyOrdersCleared":[193]},FALSE
195,206,Test your might "colette Summer" advanced 3rd,腕試し編・コレット夏 上級3RD,Clear level 10 musics of REFLEC BEAT colette Summer with AA rank or above,REFLEC BEAT colette Summerの楽曲でレベル10の楽曲をランクAA以上でクリア,Test your might advanced 3 fragment,腕試し上級のかけら3,15,red,Stamp ticket,スタンプチケット,5,0,4,{"anyOrdersCleared":[194]},FALSE
196,207,Test your might "colette Summer" advanced final,腕試し編・コレット夏 上級FINAL,Clear 海神 (HARD),海神のHARDをクリア,Test your might advanced 4 fragment,腕試し上級のかけら4,10,red,Byword left part "Colette Summer advanced",通り名 前パーツ「三代夏上級の」,1,0,4,{"anyOrdersCleared":[195]},FALSE
197,208,Test your might "colette Summer" elite 1st,腕試し編・コレット夏 超上級1ST,Clear level 10+ musics of REFLEC BEAT colette Summer with AA rank or above,REFLEC BEAT colette Summerの楽曲でレベル10+の楽曲をランクAA以上でクリア,Test your might elite 1 fragment,腕試し超上級のかけら1,15,red,Stamp ticket,スタンプチケット,3,0,5,{},FALSE
198,209,Test your might "colette Summer" elite 2nd,腕試し編・コレット夏 超上級2ND,Clear level 10 musics of REFLEC BEAT colette Summer with AAA rank or above and full combo,REFLEC BEAT colette Summerの楽曲でレベル10の楽曲をランクAAA以上でフルコンボクリア,Test your might elite 2 fragment,腕試し超上級のかけら2,15,red,Stamp ticket,スタンプチケット,4,0,5,{"anyOrdersCleared":[197]},FALSE
199,210,Test your might "colette Summer" elite 3rd,腕試し編・コレット夏 超上級3RD,Clear EMPEROR OF THE AVALON (HARD) with AAA rank or above,EMPEROR OF THE AVALONのHARDをランクAAA以上でクリア,Test your might elite 3 fragment,腕試し超上級のかけら3,10,red,Stamp ticket,スタンプチケット,5,0,5,{"anyOrdersCleared":[198]},FALSE
200,211,Test your might "colette Summer" elite final,腕試し編・コレット夏 超上級FINAL,Clear リリーゼと炎龍レーヴァテイン (HARD) with AAA+ rank,リリーゼと炎龍レーヴァテインのHARDをランクAAA+でクリア,Test your might elite 4 fragment,腕試し超上級のかけら4,10,red,Byword left part "Colette Summer elite",通り名 前パーツ「三代夏超上級の」,1,0,6,{"anyOrdersCleared":[199]},FALSE
201,121,Autumn gear - head ☆1,秋装備あたま編 ☆1,Play musics of level 10,レベル10の楽曲をプレー,Level 10 fragment,レベル10のかけら,10,blue,Blue cap,青いキャップ,1,0,1,{},FALSE
202,122,Autumn gear - head ☆2,秋装備あたま編 ☆2,Play musics of J-POP genre,J-POPの楽曲をプレー,J-POP fragment,J-POPのかけらを集める,10,blue,Courier's wig,飛脚のかつら,1,0,1,"{""equipCondition"":{""index"":0,""season"":3,""experiences"":0}}",FALSE
203,123,Autumn gear - head ☆3,秋装備あたま編 ☆3,Play musics in HARD difficulty,HARDをプレー,HARD fragment,HARDのかけら,10,blue,Millitary hat,ミリタリーな帽子,1,0,2,"{""equipCondition"":{""index"":0,""season"":3,""experiences"":1}}",FALSE
204,124,Autumn gear - head ☆4,秋装備あたま編 ☆4,Play musics of REFLEC BEAT colette Autumn,Autumnバージョンの楽曲をプレー,Autumn fragment,秋のかけら,12,blue,Mushroom hat,きのこの帽子,1,0,2,"{""equipCondition"":{""index"":0,""season"":3,""experiences"":2}}",FALSE
205,125,Autumn gear - head ☆5,秋装備あたま編 ☆5,Play musics which artist name start with row K,「か行」で始まるアーティスト名の楽曲をプレー,Artist name row K fragment,アーティストか行のかけら,12,blue,Deer hood,シカシカフード,1,0,3,"{""equipCondition"":{""index"":0,""season"":3,""experiences"":4}}",FALSE
206,126,Autumn gear - head ☆6,秋装備あたま編 ☆6,Play with Hokaido / Tohoku region players via matching,北海道・東北エリアのプレイヤーとマッチングする,Regional matching 1 fragment,エリアマッチング1のかけら,14,blue,Marron hood,いがぐりずきん,1,0,3,"{""equipCondition"":{""index"":0,""season"":3,""experiences"":7}}",FALSE
207,127,Autumn gear - body ☆1,秋装備からだ編 ☆1,Play musics of level 9,レベル9の楽曲をプレー,Level 9 fragment,レベル9のかけら,10,blue,Casual autumn clothing,カジュアルな秋服,1,0,1,{},FALSE
208,128,Autumn gear - body ☆2,秋装備からだ編 ☆2,Play musics of KONAMI Original genre,コナミオリジナルの楽曲をプレー,KONAMI Original fragment,コナオリのかけら,10,blue,Courier's clothing,飛脚の服,1,0,1,"{""equipCondition"":{""index"":1,""season"":3,""experiences"":0}}",FALSE
209,129,Autumn gear - body ☆3,秋装備からだ編 ☆3,Play musics of REFLEC BEAT colette Autumn,Autumnバージョンの曲をプレー,Autumn fragment,秋のかけら,10,blue,Millitary clothing,ミリタリーな服,1,0,2,"{""equipCondition"":{""index"":1,""season"":3,""experiences"":1}}",FALSE
210,130,Autumn gear - body ☆4,秋装備からだ編 ☆4,Play musics in MEDIUM difficulty,MEDIUMをプレー,MEDIUM fragment,MEDIUMのかけら,12,blue,Mushroom suit,きのこのスーツ,1,0,2,"{""equipCondition"":{""index"":1,""season"":3,""experiences"":2}}",FALSE
211,131,Autumn gear - body ☆5,秋装備からだ編 ☆5,Play musics which artist name start with row R,「ら行」で始まるアーティスト名の楽曲をプレー,Artist name row R fragment,アーティストら行のかけら,12,blue,Deer coat,シカシカコート,1,0,3,"{""equipCondition"":{""index"":1,""season"":3,""experiences"":4}}",FALSE
212,132,Autumn gear - body ☆6,秋装備からだ編 ☆6,Play with Chugoku / Shigoku region players via matching,中国・四国エリアのプレイヤーとマッチングする,Regional matching 5 fragment,エリアマッチング5のかけら,14,blue,Marron poncho,いがぐりポンチョ,1,0,3,"{""equipCondition"":{""index"":1,""season"":3,""experiences"":7}}",FALSE
213,133,Autumn gear - hand ☆1,秋装備もちもの編 ☆1,Play musics of level 10+,レベル10+の楽曲をプレー,Level 10+ fragment,レベル10+のかけら,10,blue,Brown basket,茶色いかご,1,0,1,{},FALSE
214,134,Autumn gear - hand ☆2,秋装備もちもの編 ☆2,Play musics in BASIC difficulty,BASICをプレー,BASIC fragment,BASICのかけら,10,blue,Courier's baggage,飛脚の手荷物,1,0,1,"{""equipCondition"":{""index"":2,""season"":3,""experiences"":0}}",FALSE
215,135,Autumn gear - hand ☆3,秋装備もちもの編 ☆3,Play musics of REFLEC BEAT colette Autumn,Autumnバージョンの曲をプレー,Autumn fragment,秋のかけら,10,blue,Millitary box,ミリタリーな箱,1,0,2,"{""equipCondition"":{""index"":2,""season"":3,""experiences"":1}}",FALSE
216,136,Autumn gear - hand ☆4,秋装備もちもの編 ☆4,Play musics of Variety genre,バラエティの楽曲をプレー,Variety fragment,バラエティのかけら,12,blue,Mushroom pochette,きのこのポシェット,1,0,2,"{""equipCondition"":{""index"":2,""season"":3,""experiences"":2}}",FALSE
217,137,Autumn gear - hand ☆5,秋装備もちもの編 ☆5,Play musics which artist name start with row A,「あ行」で始まるアーティスト名の楽曲をプレー,Artist name row A fragment,アーティストあ行のかけら,12,blue,Deer bag,シカシカふくろ,1,0,3,"{""equipCondition"":{""index"":2,""season"":3,""experiences"":4}}",FALSE
218,138,Autumn gear - hand ☆6,秋装備もちもの編 ☆6,Play with Kyushu / Okinawa region players via matching,九州・沖縄エリアのプレイヤーとマッチングする,Regional matching 6 fragment,エリアマッチング6のかけら,14,blue,Marron cleaner,マロンくりーナー,1,0,3,"{""equipCondition"":{""index"":2,""season"":3,""experiences"":7}}",FALSE
219,212,Test your might "colette Autumn" primary 1st,腕試し編・コレット秋 初級1ST,Clear musics of REFLEC BEAT colette Autumn with AA rank or above,REFLEC BEAT colette Autumnの楽曲をランクAA以上でクリア,Test your might primary 1 fragment,腕試し初級のかけら1,15,red,Stamp ticket,スタンプチケット,3,0,2,{},FALSE
220,213,Test your might "colette Autumn" primary 2nd,腕試し編・コレット秋 初級2ND,Clear musics of REFLEC BEAT colette Autumn in HARD difficulty,REFLEC BEAT colette Autumnの楽曲のHARDをクリア,Test your might primary 2 fragment,腕試し初級のかけら2,15,red,Stamp ticket,スタンプチケット,4,0,2,{"anyOrdersCleared":[219]},FALSE
221,214,Test your might "colette Autumn" primary final,腕試し編・コレット秋 初級FINAL,Clear level 8 musics of REFLEC BEAT colette Autumn,REFLEC BEAT colette Autumnの楽曲でレベル8の楽曲をクリア,Test your might primary 3 fragment,腕試し初級のかけら3,15,red,Byword left part "Colette Autumn primary",通り名 前パーツ「三代秋初級の」,1,0,2,{"anyOrdersCleared":[220]},FALSE
222,215,Test your might "colette Autumn" intermediate 1st,腕試し編・コレット秋 中級1ST,Clear level 9 musics of REFLEC BEAT colette Autumn,REFLEC BEAT colette Autumnの楽曲でレベル9の楽曲をクリア,Test your might intermediate 1 fragment,腕試し初級のかけら1,15,red,Stamp ticket,スタンプチケット,3,0,3,{},FALSE
223,216,Test your might "colette Autumn" intermediate 2nd,腕試し編・コレット秋 中級2ND,Clear musics of REFLEC BEAT colette Autumn in HARD difficulty with AA rank or above,REFLEC BEAT colette Autumnの楽曲のHARDをランクAA以上でクリア,Test your might intermediate 2 fragment,腕試し初級のかけら2,15,red,Stamp ticket,スタンプチケット,4,0,3,{"anyOrdersCleared":[222]},FALSE
224,217,Test your might "colette Autumn" intermediate final,腕試し編・コレット秋 中級FINAL,Clear Lapis Philosophorum (HARD),Lapis PhilosophorumのHARDをクリア,Test your might intermediate 3 fragment,腕試し初級のかけら3,10,red,Byword left part "Colette Autumn intermediate",通り名 前パーツ「三代秋中級の」,1,0,3,{"anyOrdersCleared":[223]},FALSE
225,218,Test your might "colette Autumn" advanced 1st,腕試し編・コレット秋 上級1ST,Clear musics of REFLEC BEAT colette Autumn with AAA rank or above,REFLEC BEAT colette Autumnの楽曲をランクAAA以上でクリア,Test your might advanced 1 fragment,腕試し上級のかけら1,15,red,Stamp ticket,スタンプチケット,3,0,4,{},FALSE
226,219,Test your might "colette Autumn" advanced 2nd,腕試し編・コレット秋 上級2ND,Clear level 9 musics of REFLEC BEAT colette Autumn with AA rank or above,REFLEC BEAT colette Autumnの楽曲でレベル9の楽曲をランクAA以上でクリア,Test your might advanced 2 fragment,腕試し上級のかけら2,15,red,Stamp ticket,スタンプチケット,4,0,4,{"anyOrdersCleared":[225]},FALSE
227,220,Test your might "colette Autumn" advanced 3rd,腕試し編・コレット秋 上級3RD,Clear level 7 musics of REFLEC BEAT colette Autumn with AAA rank or above,REFLEC BEAT colette Autumnの楽曲でレベル7の楽曲をランクAAA以上でクリア,Test your might advanced 3 fragment,腕試し上級のかけら3,15,red,Stamp ticket,スタンプチケット,5,0,4,{"anyOrdersCleared":[226]},FALSE
228,221,Test your might "colette Autumn" advanced final,腕試し編・コレット秋 上級FINAL,Clear Ground Shake (HARD) with AA rank or above,Ground ShakeのHARDをランクAA以上でクリア,Test your might advanced 4 fragment,腕試し上級のかけら4,10,red,Byword left part "Colette Autumn advanced",通り名 前パーツ「三代秋上級の」,1,0,4,{"anyOrdersCleared":[227]},FALSE
229,222,Test your might "colette Autumn" elite 1st,腕試し編・コレット秋 超上級1ST,Clear level 9 musics of REFLEC BEAT colette Autumn with AAA rank or above and full combo,REFLEC BEAT colette Autumnの楽曲でレベル9の楽曲をランクAAA以上でフルコンボクリア,Test your might elite 1 fragment,腕試し超上級のかけら1,15,red,Stamp ticket,スタンプチケット,3,0,5,{},FALSE
230,223,Test your might "colette Autumn" elite 2nd,腕試し編・コレット秋 超上級2ND,Clear level 10 musics of REFLEC BEAT colette Autumn with AAA rank or above and full combo,REFLEC BEAT colette Autumnの楽曲でレベル10の楽曲をランクAAA以上でフルコンボクリア,Test your might elite 2 fragment,腕試し超上級のかけら2,15,red,Stamp ticket,スタンプチケット,4,0,5,{"anyOrdersCleared":[229]},FALSE
231,224,Test your might "colette Autumn" elite 3rd,腕試し編・コレット秋 超上級3RD,Clear level 10+ musics of REFLEC BEAT colette Autumn with AAA rank or above,REFLEC BEAT colette Autumnの楽曲でレベル10+の楽曲をランクAAA以上でクリア,Test your might elite 3 fragment,腕試し超上級のかけら3,15,red,Stamp ticket,スタンプチケット,5,0,5,{"anyOrdersCleared":[230]},FALSE
232,225,Test your might "colette Autumn" elite final,腕試し編・コレット秋 超上級FINAL,Clear fallen leaves (HARD) with AAA+ rank,fallen leavesのHARDをランクAAA+でクリア,Test your might elite 4 fragment,腕試し超上級のかけら4,10,red,Byword left part "Colette Autumn elite",通り名 前パーツ「三代秋超上級の」,1,0,6,{"anyOrdersCleared":[231]},FALSE
233,228,Test your might "colette Winter" legendary,腕試し編・コレット冬 伝説級,Clear Valanga (HARD) with AAA+ rank and full combo,ValangaのHARDをランクAAA+でフルコンボクリア,Test your might legendary fragment,腕試し伝説級のかけら,1,red,Byword left part "Colette Winter legendary",通り名 前パーツ「三代冬伝説級の」,1,0,7,{"anyOrdersCleared":[134]},FALSE
234,229,Test your might "colette Spring" legendary,腕試し編・コレット春 伝説級,Clear ストレイ・マーチ (HARD) with AAA+ rank and full combo,ストレイ・マーチのHARDをランクAAA+でフルコンボクリア,Test your might legendary fragment,腕試し伝説級のかけら,1,red,Byword left part "Colette Spring legendary",通り名 前パーツ「三代春伝説級の」,1,0,7,{"anyOrdersCleared":[155]},FALSE
235,230,Test your might "colette Summer" legendary,腕試し編・コレット夏 伝説級,Clear 海神 (HARD) with AAA+ rank and full combo,海神のHARDをランクAAA+でフルコンボクリア,Test your might legendary fragment,腕試し伝説級のかけら,1,red,Byword left part "Colette Summer legendary",通り名 前パーツ「三代夏伝説級の」,1,0,7,{"anyOrdersCleared":[211]},FALSE
236,231,Test your might "colette Autumn" legendary,腕試し編・コレット秋 伝説級,Clear fallen leaves (HARD) with AAA+ rank and full combo,fallen leavesのHARDをランクAAA+でフルコンボクリア,Test your might legendary fragment,腕試し伝説級のかけら,1,red,Byword left part "Colette Autumn legendary",通り名 前パーツ「三代秋伝説級の」,1,0,7,{"anyOrdersCleared":[232]},FALSE
